last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Hicks, John,543308,206,13.9,33.0,111.2,87.2,92.1,84.5,426,176,397,70,34.0,12,5.8,3.8
Schebler, Scott,594988,283,8.6,32.9,111.1,90.2,94.1,88.0,449,161,406,120,42.4,30,10.6,7.0
Pillar, Kevin,607680,420,16.5,39.3,111.1,87.1,90.9,85.0,440,181,390,153,36.4,24,5.7,4.4
Grandal, Yasmani,518735,319,14.0,33.2,111.0,88.9,94.5,84.5,429,188,404,128,40.1,38,11.9,7.3
Dietrich, Derek,518618,361,15.7,34.1,111.0,87.4,90.8,86.2,448,170,396,136,37.7,22,6.1,4.0
Maybin, Cameron,457727,269,7.4,34.6,111.0,86.4,90.9,83.5,429,152,415,90,33.5,11,4.1,2.9
Garver, Mitch,641598,232,12.5,31.5,111.0,88.8,93.6,85.8,421,174,408,90,38.8,13,5.6,3.9
Nimmo, Brandon,607043,293,10.5,33.4,110.9,89.5,94.1,87.5,449,159,397,123,42.0,19,6.5,3.6
McCutchen, Andrew,457705,431,13.4,36.4,110.9,90.0,94.0,86.2,427,178,387,178,41.3,36,8.4,5.3
Freese, David,501896,211,7.2,34.6,110.9,90.3,93.1,88.8,435,160,391,95,45.0,19,9.0,6.1
Villar, Jonathan,542340,331,2.7,27.2,110.9,87.2,92.0,84.9,430,133,399,119,36.0,17,5.1,3.3
Thames, Eric,519346,150,19.2,34.7,110.8,90.9,94.9,85.5,416,206,396,64,42.7,25,16.7,9.0
Goodrum, Niko,592348,314,10.8,37.6,110.8,87.7,91.6,84.4,418,176,387,111,35.4,25,8.0,5.1
Zimmerman, Ryan,475582,235,7.1,28.9,110.8,92.6,97.8,89.0,443,164,406,124,52.8,32,13.6,9.9
Taylor, Michael A.,572191,239,6.2,27.2,110.8,86.5,93.1,82.0,425,153,392,81,33.9,15,6.3,3.9
Heyward, Jason,518792,384,9.5,29.7,110.8,88.1,91.2,88.3,423,161,393,148,38.5,11,2.9,2.2
Smoak, Justin,475253,352,14.9,37.2,110.7,89.5,94.3,84.6,420,186,389,146,41.5,37,10.5,6.2
Gurriel Jr., Lourdes,666971,193,10.3,35.2,110.7,90.3,92.4,88.1,450,177,396,87,45.1,15,7.8,5.7
Adames, Willy,642715,196,8.6,32.1,110.6,86.5,91.9,83.0,434,154,406,58,29.6,13,6.6,4.0
Betts, Mookie,605141,434,18.4,39.4,110.6,92.3,95.9,88.8,452,207,400,218,50.2,61,14.1,9.9
Muncy, Max,571970,266,17.8,38.0,110.6,90.1,95.0,84.6,445,206,399,122,45.9,45,16.9,9.4
Flowers, Tyler,452095,176,12.8,37.5,110.5,90.0,91.8,89.1,448,186,400,78,44.3,12,6.8,4.1
Happ, Ian,664023,222,14.0,39.2,110.5,90.0,93.4,87.8,437,194,400,90,40.5,27,12.2,5.8
Seager, Kyle,572122,449,18.4,37.0,110.5,89.7,92.6,87.3,424,197,385,178,39.6,25,5.6,4.0
Longoria, Evan,446334,384,13.6,32.6,110.4,88.5,93.0,85.7,435,177,399,142,37.0,29,7.6,5.7
Andujar, Miguel,609280,480,12.3,34.6,110.4,89.2,92.7,87.8,428,169,389,175,36.5,30,6.3,5.0
Blackmon, Charlie,453568,495,11.8,34.9,110.4,87.2,91.2,83.7,447,173,407,174,35.2,32,6.5,4.6
DeJong, Paul,657557,318,19.1,37.7,110.4,89.3,93.4,85.6,464,205,398,128,40.3,29,9.1,5.9
Hernandez, Enrique,571771,333,15.5,29.7,110.4,88.2,92.7,85.9,431,178,401,121,36.3,25,7.5,5.4
Castellanos, Nicholas,592206,472,15.2,45.3,110.3,89.5,93.6,84.8,426,197,384,190,40.3,51,10.8,7.5
Sanchez, Yolmer,570560,467,8.6,35.1,110.3,85.6,91.2,82.1,449,157,405,130,27.8,14,3.0,2.1
Cervelli, Francisco,465041,254,15.7,35.8,110.2,88.4,93.6,83.7,428,183,383,101,39.8,21,8.3,5.2
Kiermaier, Kevin,595281,245,6.2,26.1,110.2,84.5,90.7,81.4,416,143,394,71,29.0,11,4.5,3.0
Bryant, Kris,592178,285,17.7,38.2,110.2,85.8,91.3,78.8,448,186,406,96,33.7,27,9.5,5.9
Ramirez, Jose,608070,504,18.8,34.7,110.2,88.8,92.4,86.6,434,196,388,175,34.7,43,8.5,6.2
Nunez, Eduardo,456488,415,9.2,27.2,110.2,88.2,90.4,89.4,411,147,383,148,35.7,14,3.4,2.8
Mercer, Jordy,474568,311,13.0,41.2,110.1,87.4,90.6,85.1,443,174,401,97,31.2,15,4.8,3.4
Gonzalez, Marwin,503556,370,10.0,35.7,110.1,87.4,93.4,81.7,422,175,395,153,41.4,25,6.8,4.5
Wendle, Joey,621563,403,10.3,31.8,110.1,88.4,91.7,86.7,420,165,400,142,35.2,11,2.7,2.0
Gardner, Brett,458731,432,8.4,30.6,110.1,87.3,91.7,85.0,426,156,385,142,32.9,12,2.8,2.0
Almora Jr., Albert,546991,369,7.7,30.1,110.0,85.6,89.0,84.8,435,147,385,101,27.4,5,1.4,1.0
Bauers, Jake,641343,227,11.3,33.9,110.0,86.8,93.1,81.8,420,171,397,71,31.3,16,7.0,4.1
Villanueva, Christian,570799,248,20.9,34.3,110.0,86.7,90.6,85.2,434,188,392,75,30.2,24,9.7,6.3
Aguilar, Jesus,542583,359,16.1,38.2,110.0,89.7,93.8,85.1,433,197,395,152,42.3,41,11.4,7.2
Hicks, Aaron,543305,377,12.5,34.2,110.0,88.9,93.3,85.1,417,182,388,162,43.0,33,8.8,5.7
Rendon, Anthony,543685,455,17.7,39.8,109.9,90.6,93.7,88.7,430,200,395,203,44.6,47,10.3,7.9
Albies, Ozzie,645277,527,15.4,34.0,109.9,86.3,91.8,81.6,427,175,389,155,29.4,25,4.7,3.7
Souza Jr., Steven,519306,166,16.2,35.5,109.8,88.7,91.9,87.7,450,179,401,66,39.8,13,7.8,4.8
Realmuto, J.T.,592663,377,14.4,39.8,109.8,88.9,92.4,86.0,434,177,406,154,40.8,34,9.0,6.4
Andrus, Elvis,462101,331,8.8,30.8,109.7,87.2,90.0,86.3,428,152,404,101,30.5,14,4.2,3.3
Camargo, Johan,622666,359,12.5,31.2,109.7,88.0,91.0,86.8,431,165,389,120,33.4,18,5.0,3.4
Pina, Manny,444489,249,13.8,37.3,109.7,84.7,90.4,80.9,428,169,409,66,26.5,13,5.2,3.9
Simmons, Andrelton,592743,516,7.7,28.5,109.7,87.8,92.0,86.6,402,149,382,187,36.2,21,4.1,3.5
Freeman, Freddie,518692,492,14.5,44.9,109.6,89.1,93.7,83.0,441,190,402,196,39.8,46,9.3,6.5
Perez, Hernan,541650,246,10.9,34.1,109.6,87.3,91.2,85.5,441,170,409,79,32.1,12,4.9,3.6
Duvall, Adam,594807,268,22.5,31.0,109.6,89.0,93.4,85.6,441,201,392,109,40.7,28,10.4,6.6
Benintendi, Andrew,643217,482,12.6,37.6,109.5,88.4,91.9,84.8,437,182,394,161,33.4,31,6.4,4.7
Rosario, Amed,642708,441,7.2,32.7,109.5,87.3,90.4,85.9,437,151,405,141,32.0,17,3.9,2.9
Choo, Shin-Soo,425783,407,6.0,36.1,109.5,89.0,95.2,83.7,447,163,403,163,40.0,45,11.1,6.8
Carpenter, Matt,572761,410,20.3,44.4,109.5,89.6,94.4,80.9,432,231,389,183,44.6,56,13.7,8.3
Castro, Starlin,516770,475,8.4,32.0,109.4,88.5,91.9,87.1,427,154,400,172,36.2,33,6.9,5.1
Gregorius, Didi,544369,445,15.6,32.8,109.4,86.5,90.8,84.5,430,180,379,136,30.6,21,4.7,3.7
Torres, Gleyber,650402,315,18.8,38.7,109.4,88.7,91.2,86.8,444,196,396,116,36.8,29,9.2,6.0
Eaton, Adam,594809,257,7.2,33.9,109.4,85.8,90.3,82.9,408,152,396,78,30.4,8,3.1,2.2
Calhoun, Kole,594777,364,11.9,34.3,109.4,90.4,94.4,86.4,436,181,403,156,42.9,34,9.3,6.2
Hernandez, Cesar,514917,454,9.4,30.0,109.4,84.2,88.8,81.3,441,159,393,126,27.8,19,4.2,2.7
Smith, Kevan,607345,154,0.3,26.0,109.3,87.9,93.0,85.6,438,126,412,54,35.1,7,4.5,3.7
Adams, Matt,571431,233,19.1,35.6,109.3,88.7,94.6,83.5,460,193,396,92,39.5,24,10.3,7.1
Mahtook, Mikie,543484,160,12.1,28.1,109.3,87.6,93.1,84.1,445,162,399,56,35.0,10,6.3,4.0
Delmonico, Nicky,547170,205,14.6,34.6,109.3,86.8,90.0,85.5,410,175,386,70,34.1,12,5.9,3.8
LeMahieu, DJ,518934,460,5.7,31.3,109.3,91.1,93.2,89.6,439,163,399,197,42.8,24,5.2,4.1
Markakis, Nick,455976,552,10.1,38.4,109.3,90.6,92.2,90.2,429,170,398,229,41.5,17,3.1,2.4
Hundley, Nick,460026,197,15.6,38.6,109.2,88.9,92.2,86.4,432,175,377,78,39.6,13,6.6,4.3
Beltre, Adrian,134181,345,13.7,39.7,109.2,88.7,91.8,85.6,439,187,399,127,36.8,22,6.4,4.6
Arenado, Nolan,571448,475,15.4,35.8,109.2,89.7,94.4,85.8,464,184,408,192,40.4,35,7.4,5.2
Gamel, Ben,592325,197,7.2,36.0,109.1,88.7,90.6,87.0,402,155,369,66,33.5,6,3.0,2.0
Kingery, Scott,664068,331,16.8,38.7,109.1,85.5,90.3,79.3,405,187,378,103,31.1,17,5.1,3.5
Kratz, Erik,456124,166,12.7,28.3,109.1,89.5,92.1,88.3,433,168,404,65,39.2,8,4.8,3.7
Gomes, Yan,543228,287,18.5,42.2,109.1,88.9,92.3,85.1,435,199,392,110,38.3,24,8.4,5.5
Bruce, Jay,457803,244,21.4,37.7,109.0,88.3,92.6,84.0,412,205,390,84,34.4,22,9.0,6.1
Gordon, Alex,460086,383,11.0,35.8,109.0,88.5,93.4,84.4,422,169,399,151,39.4,25,6.5,4.4
Mesoraco, Devin,519023,193,20.6,26.9,109.0,86.5,92.0,82.9,416,171,393,54,28.0,12,6.2,4.4
Polanco, Jorge,593871,244,15.5,37.7,109.0,83.8,88.6,79.8,411,179,379,68,27.9,9,3.7,2.7
Pearce, Steve,456665,176,12.0,35.8,109.0,89.3,94.7,84.9,438,177,392,68,38.6,20,11.4,8.0
Maldonado, Martin,455117,279,14.1,31.5,108.9,84.7,89.6,81.4,425,167,397,74,26.5,14,5.0,3.5
Crawford, Brandon,543063,414,11.1,37.4,108.8,87.3,90.6,85.6,436,167,388,137,33.1,16,3.9,2.7
Garcia, Leury,544725,194,5.3,34.0,108.8,85.7,90.9,82.0,421,142,399,61,31.4,5,2.6,1.8
Escobar, Eduardo,500871,448,18.8,39.5,108.8,86.6,90.8,82.4,447,197,400,122,27.2,37,8.3,5.9
Peraza, Jose,606299,570,13.4,38.2,108.7,83.9,87.1,81.3,426,177,391,134,23.5,14,2.5,2.0
Martin, Russell,431145,207,10.1,22.7,108.7,90.6,95.4,90.1,424,147,389,89,43.0,13,6.3,3.7
Grossman, Robbie,543257,320,14.5,34.4,108.6,86.8,89.6,85.5,422,173,394,88,27.5,7,2.2,1.5
Cabrera, Melky,466320,217,9.4,33.6,108.6,90.4,90.5,92.4,407,155,386,89,41.0,5,2.3,1.8
Brantley, Michael,488726,517,9.5,39.1,108.6,89.9,91.9,89.0,424,169,392,194,37.5,19,3.7,3.0
Pollock, A.J.,572041,321,13.2,31.5,108.6,89.0,93.7,84.5,455,183,405,130,40.5,32,10.0,7.0
Jackson, Austin,457706,215,10.6,34.0,108.6,86.8,90.4,84.4,419,158,404,70,32.6,6,2.8,1.6
Reyes, Victor,622682,168,6.0,31.5,108.5,84.0,88.4,81.6,399,138,390,44,26.2,5,3.0,2.3
Gennett, Scooter,571697,467,13.2,37.7,108.5,86.7,91.0,82.5,420,179,377,149,31.9,28,6.0,4.4
Flores, Wilmer,527038,353,17.0,33.1,108.5,86.5,89.8,85.8,422,180,384,94,26.6,10,2.8,2.3
Hernandez, Gorkys,491676,307,11.8,30.0,108.5,86.2,92.4,83.1,433,148,403,109,35.5,23,7.5,5.1
Canha, Mark,592192,279,15.5,36.6,108.5,87.0,92.7,83.0,434,183,400,96,34.4,25,9.0,6.1
Swanson, Dansby,621020,365,12.9,32.1,108.5,86.8,91.9,83.2,438,168,399,124,34.0,15,4.1,2.8
Mondesi, Adalberto,609275,202,11.8,31.7,108.4,87.3,94.5,81.0,437,176,411,71,35.1,21,10.4,7.2
Cabrera, Asdrubal,452678,429,14.3,33.1,108.3,89.5,93.5,86.7,425,179,385,166,38.7,31,7.2,5.2
Hedges, Austin,595978,214,15.8,30.8,108.2,85.4,92.0,80.5,421,179,393,64,29.9,14,6.5,4.3
Russell, Addison,608365,324,12.0,36.7,108.2,86.3,90.0,83.8,409,174,379,86,26.5,7,2.2,1.5
White, Tyler,643603,162,17.1,31.5,108.2,89.1,93.7,85.5,417,190,382,59,36.4,15,9.3,6.3
Culberson, Charlie,518586,212,7.3,33.5,108.2,84.2,90.6,80.8,413,148,394,65,30.7,11,5.2,3.4
Panik, Joe,605412,333,9.8,32.4,108.1,86.5,88.4,86.4,400,154,374,98,29.4,9,2.7,2.3
Rosario, Eddie,592696,458,17.4,33.2,108.1,87.3,92.5,82.0,418,187,378,152,33.2,38,8.3,6.4
Posey, Buster,457763,347,10.3,35.2,108.1,89.1,91.9,87.0,421,165,398,121,34.9,18,5.2,4.0
Jones, Adam,430945,491,13.0,35.6,108.1,88.0,91.6,86.2,422,173,396,162,33.0,23,4.7,3.8
Span, Denard,452655,365,12.6,36.7,108.1,86.5,89.3,85.2,415,169,391,108,29.6,10,2.7,2.0
Lowrie, Jed,476704,471,17.1,38.2,108.1,89.1,92.0,86.2,412,198,380,177,37.6,25,5.3,3.7
Joyce, Matt,459964,157,14.4,38.2,107.9,87.1,92.8,79.6,416,185,398,50,31.8,11,7.0,4.5
Kiner-Falefa, Isiah,643396,300,6.1,28.7,107.9,83.8,86.2,83.2,393,132,373,71,23.7,2,0.7,0.5
Bird, Greg,595885,198,18.9,33.8,107.9,86.9,93.6,79.2,407,197,381,66,33.3,21,10.6,6.8
Gurriel, Yuli,493329,481,11.6,32.6,107.9,89.3,89.7,91.1,427,166,378,174,36.2,9,1.9,1.6
Moran, Colin,592567,340,10.6,38.2,107.8,88.0,92.4,84.6,416,165,399,120,35.3,18,5.3,3.9
Gyorko, Jedd,576397,278,15.2,35.6,107.7,87.3,92.1,81.8,425,181,390,87,31.3,21,7.6,5.2
Peterson, Jace,607054,154,10.0,31.8,107.7,86.6,91.3,82.6,415,155,400,49,31.8,5,3.2,2.0
Hanson, Alen,593700,229,12.8,32.8,107.7,82.8,86.9,79.8,413,156,384,49,21.4,9,3.9,2.9
Bregman, Alex,608324,512,16.9,37.9,107.6,89.3,93.5,86.0,420,190,384,204,39.8,39,7.6,5.5
Martinez, Victor,400121,425,14.0,35.3,107.6,87.8,90.9,85.5,416,180,384,129,30.4,20,4.7,3.9
Belt, Brandon,474832,294,22.6,43.9,107.6,86.2,90.5,79.6,429,217,389,93,31.6,31,10.5,6.8
Mauer, Joe,408045,404,4.5,37.4,107.6,90.7,94.9,87.6,427,154,406,174,43.1,20,5.0,3.7
Spangenberg, Cory,605486,193,6.1,34.7,107.6,86.4,93.1,81.2,413,158,386,74,38.3,11,5.7,3.3
Valbuena, Luis,472528,168,18.0,29.8,107.6,89.0,92.7,85.3,440,191,410,68,40.5,17,10.1,5.9
Votto, Joey,458015,405,13.3,45.9,107.5,88.1,92.5,81.4,417,192,383,141,34.8,27,6.7,4.3
Fowler, Dexter,451594,218,12.6,30.7,107.5,85.3,89.1,82.6,404,171,377,61,28.0,7,3.2,2.1
Zobrist, Ben,450314,403,8.5,35.0,107.5,89.4,91.7,87.9,423,162,386,153,38.0,12,3.0,2.3
Kipnis, Jason,543401,422,17.0,34.6,107.4,86.1,90.5,81.6,417,191,382,128,30.3,28,6.6,4.7
Arcia, Orlando,606115,263,3.3,24.3,107.4,85.6,90.6,83.7,403,121,384,76,28.9,6,2.3,1.6
Reyes, Jose,408314,190,12.4,28.4,107.3,84.5,89.0,82.4,413,149,381,45,23.7,5,2.6,2.0
Chirinos, Robinson,455139,222,21.6,36.5,107.3,87.8,93.3,80.6,456,206,393,87,39.2,24,10.8,5.6
Molina, Yadier,425877,399,15.4,37.6,107.2,88.1,92.3,84.3,438,184,394,134,33.6,22,5.5,4.4
Semien, Marcus,543760,510,15.2,34.9,107.1,86.7,91.3,83.0,428,177,393,163,32.0,22,4.3,3.1
Owings, Chris,572008,208,12.9,33.2,107.1,87.4,92.2,83.0,419,175,404,70,33.7,12,5.8,3.9
Adrianza, Ehire,501303,259,14.4,34.4,107.1,84.7,90.3,78.9,405,182,387,79,30.5,13,5.0,3.6
Wong, Kolten,543939,302,6.8,26.5,107.1,84.4,91.1,80.1,409,149,386,93,30.8,10,3.3,2.5
Cozart, Zack,446359,185,17.1,39.5,107.0,85.4,88.4,84.6,397,179,384,51,27.6,4,2.2,1.6
Walker, Neil,435522,264,13.1,42.8,107.0,87.6,92.4,82.0,436,192,402,88,33.3,16,6.1,4.0
Dyson, Jarrod,502481,176,7.3,28.4,107.0,81.1,88.2,76.1,408,141,385,34,19.3,3,1.7,1.3
Ervin, Phillip,640447,162,16.2,37.7,107.0,85.4,90.8,80.6,427,177,394,56,34.6,7,4.3,2.8
Robertson, Daniel,621002,207,7.7,31.9,107.0,86.6,90.4,84.8,431,146,397,72,34.8,11,5.3,3.2
Murphy, Daniel,502517,291,16.3,42.3,106.9,87.6,89.4,87.2,425,195,394,83,28.5,14,4.8,4.0
Leon, Sandy,506702,194,15.5,29.9,106.7,83.6,88.3,79.6,401,175,393,50,25.8,9,4.6,3.1
Bonifacio, Jorge,593528,168,18.4,39.9,106.6,85.3,88.6,81.9,410,188,375,48,28.6,13,7.7,4.8
Lucroy, Jonathan,518960,357,13.4,37.0,106.6,86.7,90.1,85.3,408,169,386,98,27.5,8,2.2,1.8
Dahl, David,621311,183,13.8,35.0,106.6,88.7,93.0,84.7,438,190,408,71,38.8,17,9.3,6.3
Rojas, Miguel,500743,426,8.9,35.4,106.6,84.1,87.2,83.2,431,145,390,101,23.7,4,0.9,0.8
Barnhart, Tucker,571466,370,11.7,35.7,106.6,85.9,90.9,82.5,421,162,382,112,30.3,13,3.5,2.5
Machado, Dixon,553988,175,10.8,33.7,106.6,84.9,89.6,82.1,387,158,377,45,25.7,6,3.4,2.6
Turner, Justin,457759,313,18.3,45.0,106.5,89.3,91.5,86.9,430,204,399,115,36.7,24,7.7,5.6
Rodriguez, Ronny,500135,154,11.2,27.9,106.5,83.9,90.3,79.8,402,159,377,46,29.9,6,3.9,2.9
Iglesias, Jose,578428,390,11.9,31.5,106.5,84.4,88.2,83.2,402,154,386,87,22.3,5,1.3,1.1
Merrifield, Whit,593160,526,16.6,41.1,106.4,86.5,91.1,82.1,430,184,400,163,31.0,24,4.6,3.4
Granderson, Curtis,434158,239,16.3,45.2,106.4,88.3,92.3,82.3,413,201,381,82,34.3,15,6.3,3.7
DeShields, Delino,592261,262,3.7,27.9,106.3,79.6,86.9,75.1,386,143,374,38,14.5,3,1.1,0.8
Prado, Martin,445988,162,9.1,34.0,106.2,87.5,87.7,88.2,400,155,374,42,25.9,4,2.5,1.9
Ahmed, Nick,605113,413,11.3,36.3,106.2,86.5,91.5,81.8,438,175,393,124,30.0,21,5.1,3.7
Kinsler, Ian,435079,426,17.8,36.6,106.1,85.3,89.0,83.4,412,177,389,109,25.6,13,3.1,2.4
Forsythe, Logan,523253,289,10.4,29.4,106.1,87.3,89.6,86.4,423,151,393,86,29.8,3,1.0,0.7
Riddle, JT,595375,245,7.3,34.3,106.1,87.0,91.9,84.2,420,151,391,71,29.0,13,5.3,3.9
Sucre, Jesus,491696,159,9.7,28.9,106.1,84.7,85.9,85.5,383,154,383,39,24.5,1,0.6,0.5
Suzuki, Kurt,435559,310,18.2,33.2,106.0,87.2,91.2,84.0,415,182,382,107,34.5,12,3.9,3.1
Holt, Brock,571788,250,6.3,33.2,105.9,87.7,91.4,85.6,426,152,402,77,30.8,9,3.6,2.5
Hechavarria, Adeiny,588751,247,13.4,34.8,105.9,86.6,89.6,84.5,403,176,380,82,33.2,6,2.4,1.9
Reddick, Josh,502210,359,18.1,32.0,105.9,85.2,89.9,81.9,434,179,378,93,25.9,14,3.9,2.9
Galvis, Freddy,520471,462,13.2,32.7,105.8,87.5,91.8,83.7,419,176,382,131,28.4,18,3.9,2.7
Heredia, Guillermo,628338,249,9.2,31.3,105.7,83.9,89.4,80.0,404,161,367,68,27.3,7,2.8,2.1
Allen, Greg,656185,212,6.5,35.4,105.7,84.7,88.0,82.0,389,155,388,64,30.2,3,1.4,1.0
McNeil, Jeff,643446,205,14.0,32.2,105.6,85.2,90.1,82.6,399,168,391,59,28.8,5,2.4,2.0
Frazier, Adam,624428,267,10.0,34.5,105.5,87.6,90.3,86.1,413,163,383,82,30.7,11,4.1,3.1
Parra, Gerardo,467827,331,8.0,34.7,105.5,85.3,90.2,81.9,433,156,402,87,26.3,9,2.7,2.0
Descalso, Daniel,518614,246,19.1,41.9,105.5,89.0,92.3,85.9,432,210,385,85,34.6,25,10.2,5.9
Escobar, Alcides,444876,423,9.5,30.5,105.5,83.1,88.2,79.4,391,155,382,89,21.0,9,2.1,1.7
Field, Johnny,608654,151,12.7,36.4,105.3,85.6,91.2,81.1,425,181,391,46,30.5,8,5.3,3.4
Vazquez, Christian,543877,211,12.6,32.7,105.2,87.1,87.9,88.8,392,166,382,59,28.0,4,1.9,1.5
Harrison, Josh,543281,283,14.9,36.0,105.1,84.6,90.2,78.8,421,180,386,73,25.8,11,3.9,2.9
Joseph, Caleb,543376,199,12.6,38.7,105.0,84.6,89.4,80.5,399,172,382,58,29.1,2,1.0,0.7
Jay, Jon,445055,440,3.2,31.8,105.0,84.1,89.0,81.1,413,131,387,95,21.6,8,1.8,1.4
Inciarte, Ender,542255,519,10.0,32.8,105.0,83.7,88.0,80.6,433,156,380,98,18.9,8,1.5,1.2
Duffy, Matt,622110,413,4.6,33.7,104.9,86.6,90.0,84.8,410,134,402,115,27.8,5,1.2,0.9
